Media Filename,Media Caption
media/2def544e-be59-4a06-ad97-bb7269424521.mp4,Zwift - TT: Zwift TT Club Racing - Loch Loop (B) on Loch Loop in Scotland
media/a17b2a54-1d6e-4043-8d12-0303a3641d75.mp4,Zwift - Figure 8 in Watopia
media/feebca6e-fb8c-48dc-98af-766e026163c5.mp4,Zwift - Climb Portal: Bealach na Ba at 125% Elevation in France
media/db8d2f81-14ea-4668-8b9d-7ece40326dfb.jpg,""
media/83ac28b2-b49c-41c1-a92e-19d619922301.jpg,""
media/ea0bec70-b6cd-4127-808c-7edbdc5bca0a.jpg,""
media/609b9f94-1e34-4a94-b736-5297496bdc2f.mp4,Zwift - Climb Portal: Bealach na Ba at 100% Elevation in France
media/9f9355f8-0685-44a0-92df-f3728807112b.jpg,""
media/3fb76b6e-d15f-491b-9350-3b568ccfcac4.mp4,Zwift - Flat Out Fast in Watopia
media/6d70b241-ce91-4bbd-932e-53033dc50205.mp4,Birthday Ride 
media/A332E254-E569-4A28-8D15-3C35A35F97D5.jpg,""
media/A1A66AD7-D1EB-4238-8CBE-F2A2F1A607CB.mp4,""
media/A61A61C6-8767-408D-9C4A-B606C6159014.jpg,""
media/774F957C-D7FF-4D85-9D93-EC7771F1698E.jpg,""
media/29AF0B34-A620-4CC6-BCC8-8E77EDBCF2EB.jpg,""
media/E286308E-0DD9-4D3E-B9BC-4CFAFD8A16A0.jpg,""
media/0B5AAFC6-64F6-4EB0-83AB-357D112F5B6D.jpg,""
media/9F9E804E-BB84-4EE0-98B1-C55D00F916CD.jpg,""
media/55B38EB3-B2DF-4B33-9A94-D3CD5F686FDA.jpg,""
media/b9ee4f6e-e824-408d-832e-a4e01e77ab8f.mp4,Zwift - Stay Puft Pursuit in New York
media/E3EAEDDA-E28E-49DE-8DC9-474EAF2550E2.jpg,""
media/947574F7-DA04-41A8-AC50-06212EFC6AB3.jpg,""
media/A44264CA-901C-4122-93D2-5B3690FD5495.jpg,""
media/f396d144-ab0a-4145-aa52-860625367a32.mp4,Zwift - Climb Portal: Col du Galibier (Lautaret) at 100% Elevation in France
media/A02956B7-BFBE-4B8D-BA0A-0F56D08AB608.jpg,""
media/8FD86E2E-CCC3-4B56-BB15-63A4DAC03879.jpg,""
media/808503A5-8744-4102-906B-3FF909F9756C.jpg,""
media/78659A37-C27F-4F07-9C11-2FD9B9A67510.jpg,""
media/10DB77B2-F4C0-4743-8F9F-954203A5F27B.jpg,""
media/1F4284D7-A48E-4115-BF3B-F0C69A541E43.jpg,""
media/AD04B8EB-DF78-46E6-A2EF-CE28B89DF799.jpg,""
media/142D0B0F-5000-4F97-A665-0EAFE3A16BA1.jpg,""
media/005DB6DD-3D6B-499F-B643-0A5961ED265D.jpg,""
media/D6C7D01E-76E6-4A44-A700-214993F0731E.jpg,""
media/E2F7F8F9-07B3-4182-A902-91C662D56E5E.jpg,""
media/63595DE4-BC79-47C1-AE19-E43E8ABEF12C.jpg,""
media/5B079754-08EF-4CF5-A89E-C77C99F3B9FD.jpg,""
media/6C48B334-C03B-4204-A4F1-30C15CEEA006.jpg,""
media/B89C94C3-A18C-46CA-9859-23A34F191738.jpg,""
media/489D02E3-7A80-41F2-BB2A-2370B457BD70.jpg,""
media/B99CF823-463B-4FD2-9830-32FF97DCCBD6.jpg,""
media/9444BD73-89B6-4690-AAF1-644F676D5FFB.jpg,""
media/394c617b-845a-40aa-a635-71bf60d7a2f3.jpg,""
media/59FB99E3-9163-488A-8D79-2A0DEFE980CE.jpg,""
media/0F425003-500C-4FA2-ACA6-87C5A80D30E2.jpg,""
media/60FDBC25-2E08-4507-BD91-BFDE650F9041.jpg,""
media/F168ED45-C770-4A77-8216-B9533EFFF4ED.jpg,""
media/49221208-2fc4-4838-9495-5aa73fc3ce21.mp4,Zwift - Climb Portal: Col du Galibier (Lautaret) at 100% Elevation in Watopia
media/ce0bce40-6454-4997-aea1-14f07e0ec539.mp4,Zwift - Climb Portal: Isola 2000 at 100% Elevation in France
media/49F5AB3A-579A-4E85-9F73-2E971E6FEEC8.jpg,""
media/FD6B6F17-1036-4CA2-8917-D7CFC6A91059.jpg,""
media/6BFEB35A-26BF-49D0-9A43-8C2A398614E7.jpg,""
media/1B8FF085-FE8E-481C-BE4A-686CDC13E8D5.jpg,""
media/5AF8079D-79A9-4697-B602-44B4DF51CB23.jpg,""
media/8b21cab2-410b-4f64-805e-5dddac3a9946.mp4,Zwift - Figure 8 Reverse in Watopia
media/44CB744C-AE6D-4FC2-BDDB-E0745ECE77F7.jpg,""
media/65FADCAE-85D9-42C4-9A60-5E5D89B22327.jpg,""
media/12ACDBD7-E673-4A5A-A021-1C0336A600E5.jpg,""
media/DE2EA5D7-6A92-4468-B53F-7A6D9E97227F.jpg,""
media/F2AA9E0E-FAEE-49A8-BE1A-C6C286E4B96A.jpg,""
media/1DE095D7-5C98-4402-8E7E-12EAE7F8AB5F.jpg,""
media/C324206C-95D8-4C6D-BB70-C325245FD8F6.jpg,""
media/1361FABF-2E02-4B67-A15C-B680E7BDED03.jpg,""
media/14D79BA3-3323-4E2B-9BD5-A08CB70E6A22.jpg,""
media/03D35C3C-DA8B-4BB5-B268-2C4C2CA8B262.jpg,""
media/8D314CF3-0395-48D8-A054-AC131E23D09D.jpg,""
media/DD53C029-30E7-43A0-9E83-7BFF97DE91CE.jpg,""
media/E29B6A68-8414-4A4E-975F-2B44E081BF91.jpg,""
media/ECC5F2C3-FBFD-4F68-BF7A-60CF0D59DE6E.jpg,""
media/2A466C72-BD48-4102-B363-9BC4461A9CB1.jpg,""
media/C39C183E-27FB-48F5-B172-82A98F6EF93F.jpg,""
media/769EF0E2-B8C0-4052-A5D1-2FE84C688E6E.jpg,""
media/C2E00B4E-21D9-4541-9BEA-4701D731F83E.jpg,""
media/1CD08C8D-E40E-42D0-96F3-F9D844096B80.jpg,""
media/CC1DCF49-3B28-48AF-9607-200992FE833A.jpg,""
media/11E78DAC-8E8E-46F2-BFF5-D99070B7B259.jpg,""
media/56429E2D-1CAB-435F-ADF4-6DA1FC1B197C.jpg,""
media/A3DB9598-F0A4-4B7C-B9EF-9C6E121834B3.jpg,""
media/0F5A7868-5915-43F0-B612-577C980288C6.jpg,""
media/5332F0F7-20C3-4F9A-9E67-1D897456F8BD.jpg,""
media/566E4A1D-BDA5-41C9-89B6-071754BB4E27.jpg,""
media/0C2C1B7D-1936-4F99-BD0D-811E042DAB2F.jpg,""
media/7A980475-4D80-4F59-B323-CF391915E8D0.jpg,""
media/B31B766B-260C-4068-9734-203BE0E62A6A.jpg,""
media/13DBD009-9B59-461A-B0CA-4690787D3B95.jpg,""
media/319E170B-1AFF-48C8-9C92-662ACA457171.jpg,""
media/ED07CB17-E654-4E4B-8D75-CC7ECAA7AFAD.jpg,STRAVA is in here 
media/9ca5ae03-99bc-47c2-9ae7-caaabb13fed6.mp4,Zwift - France
media/D4C81524-9A46-4203-9217-601B2FFB4704.jpg,""
media/C26FC5EF-B37E-4C63-8633-473E0EC4CE16.jpg,""
media/4B7E9864-F55A-4A06-AA9A-9DCD914DA5EE.jpg,""
media/98B4DE0B-0245-47ED-B77F-AA3C650A0D18.jpg,""
media/8101B327-3BC8-467A-839E-014449E614F0.jpg,""
media/EF5A9894-6A29-4180-857B-D9A51C6D5119.jpg,""
media/7bfe9efb-b62c-4c30-847d-43eaba7e9ac7.jpg,""
media/B84C25C6-A5CA-4E44-AFA9-9F7C7CAFA27F.jpg,""
media/0FB3AD67-D561-4BE7-B304-A6453EFE20A7.jpg,""
media/C97A7EA7-C59B-4710-A5EB-EA0B2D4D7294.jpg,""
media/39DC9F53-FD00-41A7-8EE0-116A5D8E671D.jpg,""
media/63A3AB8F-90FB-4843-9AF5-EA1BE945234C.jpg,""
media/74C7A175-BDB3-4C00-9F73-A2808E09C180.jpg,""
media/8F8BD0E7-087E-4F16-A170-441378E17AC9.jpg,""
media/DFD5C8B9-55C1-40E0-AC9C-91F615E5F414.jpg,""
media/94B66720-AC12-4DF8-8FF9-5A18D5F46F19.jpg,""
media/582d3d7a-4e3a-472b-9ec9-0995d56f51b4.mp4,ride #18-  Stage 6 | Tour de Zwift on Coast to Coast in Watopia
media/9bbe7b37-a5ef-4aa7-95fe-359690918c9d.mp4,| Stage 6 | Tour de Zwift on Coast Crusher in Watopia
media/5c9d09a8-15a1-4c8c-8225-d37d83977d97.mp4,Zwift - Spiral into the Volcano in Watopia
media/5d284dfb-a82f-4b4d-94f0-44807df7f1ef.mp4,Stage 5 | Tour de Zwift on NYC KOM After Party in New York
media/4587165b-4d25-4a6c-a176-ccab27bc782d.mp4,Zwift - Group Ride: Short | Stage 5 | Tour de Zwift on Queen's Highway After Party in Yorkshire
