Enabled Application Name
Strava Cycling iPhone Application
Wahoo Fitness
VeloViewer
Wahoo Fitness
ROUVY
tapiriik
Cycling Analytics
GOTOES Tools
Cyclo-Sphere
dynamicWatch
Kom Club
JetBlack
Zwift
Paper Trails
Always On™
Power-Meter.cc
Strava Labs
Garmin Connect
CommuteMarker
strafo.app
Toolbox by Marcello Brivio
Zapier
PB Viewer
Best Efforts
WattsBoard
Expresso
Concept2 Logbook
Tacx Apps
Segment Wind Analysis
ZwiftRacing
Segment explorer
myWindsock.com
ZwiftGPS
Headwind
Wandrer
Year In Running
Predictive Fitness
intervals.icu
Smashrun
Roast My
RowRoute App
Recover Athletics
Maprides
ActivityFix
The Feed
Zone 2 80/20 Heartrate Data
 Data-Driven Running Coach
StrideSync
