Comment Date,Comment
"Jul 2, 2018, 3:59:34 PM",near where I got hit :(    Haven't been back since but I like these hills
"Jul 3, 2018, 2:39:40 AM",It was gross out tonight 
"Jul 10, 2018, 11:04:10 PM",pre-work loop?  Looks fun
"Jul 12, 2018, 8:00:53 PM",So many watts it melted?
"Jul 13, 2018, 2:20:44 AM",Insane times 
"Jul 13, 2018, 10:21:11 PM",Great day for it!
"Jul 13, 2018, 10:56:44 PM","Hey Bill-  Sprint tri next weekend,  first olympic in August, and hopefully another olympic or sprint in September "
"Jul 13, 2018, 10:57:46 PM","Hey Bill-  Sprint tri next weekend,  first olympic in August, and hopefully another olympic or sprint in September "
"Jul 16, 2018, 12:09:49 AM",The Gatorade Flow stuff is dope on rides as well 
"Jul 16, 2018, 12:11:44 AM",Baller
"Jul 16, 2018, 12:12:46 AM",Very cool. We got the same shades 😎
"Jul 19, 2018, 2:01:18 AM",Nice - you doing any racing? 
"Aug 6, 2018, 2:42:40 AM",Ouch! 
"Aug 10, 2018, 12:35:45 AM",Are you still running the superteam wheels?  I just got a pair about to pick them up tomorrow 
"Aug 16, 2018, 12:17:42 AM",Looks like fun roads
"Aug 16, 2018, 2:05:45 AM",Is this on a bike?
"Aug 17, 2018, 6:47:13 PM",Used to row right there 
"Aug 20, 2018, 1:33:14 PM",Looks like the last part of the ride was in a car (speeds 40-60mph not on a downhill) 
"Aug 24, 2018, 3:40:20 PM","Haha thanks!    no it was just that hilly, almost 2k feet of climbing (Strava has incorrect elevation for some reason).    Even the fastest bike time on the course was over 1 hour.      "
"Sep 1, 2018, 3:01:48 PM",Baller 
"Sep 3, 2018, 4:12:52 PM",Very nice.  I want to do a Boston to NoHo sometime 
"Sep 4, 2018, 1:20:26 AM",Nice looking bike 
"Sep 4, 2018, 1:21:16 AM",Awesome ride 
"Sep 4, 2018, 1:21:59 AM",The blue ones are dope 
"Sep 9, 2018, 7:40:33 PM",Probably included the pause time in it. Was a fun race Dave did it too 
"Dec 12, 2018, 2:06:47 AM",First go of the year?
"Dec 18, 2018, 5:18:41 PM",How is it?
"Dec 18, 2018, 5:23:51 PM","I'll be planning on coming tonight for the first of the year,  Cheers"
"Jan 4, 2019, 2:02:21 AM",It was packed down pretty flat tonight with 200 kids doing laps 
"Jan 13, 2019, 10:09:36 PM",That’s a lot of laps!  How is the track recovering?
"Jan 23, 2019, 3:35:35 AM",Purple wax day for sure 
"Jan 23, 2019, 12:36:05 PM","Going colder is usually never a problem, was certainly a chilly night "
"Jan 27, 2019, 7:25:44 PM",It survived? 
"Jan 27, 2019, 7:27:38 PM", Did the course survive? 
"Feb 18, 2019, 2:10:10 AM",You still have the all time record on Elenor’s downhill 
"Feb 22, 2019, 10:02:33 PM",5.216*10^-13 parsecs in under 4200 seconds 
"Feb 22, 2019, 10:39:29 PM",Nice 
"Mar 29, 2019, 4:20:19 AM",Do you work in back bay?
"Apr 14, 2019, 6:16:23 PM",Very nice 
"Apr 19, 2019, 12:31:22 PM",Nice route before the traffic picks up. Something peaceful about biking in the city before things get too crazy.
"May 11, 2019, 11:53:07 PM",I really want to do it again.    Key is finding some coffee stops and places to refuel and stretch out 
"May 18, 2019, 11:24:09 PM",Nice bike man 
"May 21, 2019, 1:18:40 AM",Bro that doesn’t look like summer 
"May 23, 2019, 2:48:06 PM","Big descent with a STOP sign half way down which this segment would encourage you to ignore. 

 Normally I wouldn't report a segment, but a couple years ago on this same downhill I hit a car at the intersection (Oakland @ Park Ave) in the middle of this segment and was hospitalized -thankfully only a broken bone and bike but could have died if landed differently. 

Want to prevent others from the same risk. "
"May 24, 2019, 12:14:16 PM",Strava has a mode for rowing you can edit your activity to if you wish
"May 26, 2019, 2:41:28 PM",Looks beautiful 
"May 27, 2019, 9:11:03 PM",Shows 56.5mi/h on one segment -  must have either glitched if you look at the distance vs the map
"May 28, 2019, 5:38:43 PM",this is beast mode
"May 29, 2019, 1:02:42 AM",Was pretty gross out 😞
"May 29, 2019, 1:13:21 AM",You’re crazy fast 
"May 30, 2019, 1:42:26 PM",impossible times on segments (bad gps)
"May 30, 2019, 1:43:10 PM",impossible time on bridge segment 
"May 30, 2019, 2:46:06 PM",Bad GPS data on mile times 
"May 30, 2019, 2:47:02 PM",gaps in GPS data leading to incorrect segment times 
"May 30, 2019, 2:48:57 PM",second half looks to be on a bike 
"May 30, 2019, 2:49:39 PM",missing GPS data leading to bad segment times 
"May 30, 2019, 2:51:20 PM",looks like part is on the train 
"May 30, 2019, 2:53:25 PM",looks to be on a bike 
"May 30, 2019, 2:54:16 PM",Looks like part was in a train 
"May 30, 2019, 3:28:09 PM",Looks like part of the activity was in a car 
"May 30, 2019, 3:28:10 PM",Looks like part of the activity was in a car 
"May 31, 2019, 1:14:20 PM",beautiful ride when its not too windy.
"Jun 4, 2019, 2:11:47 PM",doing any more triathlons this summer?
"Jun 5, 2019, 12:56:02 PM",how's the water?
"Jun 5, 2019, 1:15:31 PM",Spicy
"Jun 6, 2019, 2:06:10 AM",Nice PR’s too
"Jun 6, 2019, 1:54:36 PM",bad GPS track unfortunately 
"Jun 8, 2019, 8:33:29 PM",Big improvements over last year and 1st place AG finish 10th overall
"Jun 12, 2019, 2:02:06 PM",Looks like walking was faster 
"Jun 12, 2019, 5:42:30 PM",Very nice. I always go here for interval training
"Jun 12, 2019, 6:14:47 PM",Awesome man will do!
"Jun 13, 2019, 12:46:19 AM",Are you sure you were on a bike and not a rocket ship??
"Jun 13, 2019, 4:14:09 PM",very smooth cadence
"Jun 15, 2019, 5:28:09 PM",Awesome!
"Jun 15, 2019, 5:29:33 PM",We should do a ride sometime 
"Jun 16, 2019, 12:33:17 AM",Epic 😎
"Jun 20, 2019, 4:16:25 PM",now that looks nice
"Jun 20, 2019, 7:10:29 PM",Moved out to the West Coast ?
"Jun 22, 2019, 3:16:41 PM",Are you a MD?
"Jun 22, 2019, 8:46:06 PM",Awesome dude my buddy Joseph Sperry was up there for the sprint race 
"Jun 22, 2019, 8:47:20 PM","One huge climb, amazing !"
"Jun 23, 2019, 6:04:51 PM",Yilun Zhang  that’s integrated race nutrition 🍋
"Jun 25, 2019, 1:48:24 AM",Part of this activity looks like it was recorded on the train
"Jun 26, 2019, 3:10:59 PM",I wish I could do this on a Wednesday! 
"Jun 28, 2019, 3:02:15 PM",I always find 28 to be brutal
"Jun 28, 2019, 5:13:12 PM",Clearly in a car driving on the interstate 
"Jun 29, 2019, 7:48:23 PM",Looking  fast 
"Jun 29, 2019, 10:07:17 PM",Hope you’re okay
"Jul 13, 2019, 6:30:49 PM",Nice climb to the clouds !
"Jul 16, 2019, 12:08:20 PM",Yilun Zhang yeah man my first Olympic this year 
"Jul 16, 2019, 12:48:45 PM",that section over near Central is brutal
"Jul 17, 2019, 12:27:49 AM",Nice to see you in MA
"Jul 19, 2019, 1:14:39 AM",Hope you’re ok!
"Jul 19, 2019, 11:31:12 PM",Jealous! Looks awesome 
"Jul 21, 2019, 9:27:47 PM",Nice dude 
"Jul 25, 2019, 1:16:10 PM",yeah! haha I should have gone and done those hills too but my legs felt toasted
"Jul 28, 2019, 4:46:32 PM",Nice race man 
"Aug 4, 2019, 8:35:51 PM",Nice bike!
"Aug 6, 2019, 3:18:54 PM","GPS Data looks off, please review to ensure was on bike "
"Aug 6, 2019, 3:23:14 PM",2nd half looks to be in a vehicle 
"Aug 6, 2019, 4:31:35 PM",Bad GPS data in this ride is evident 
"Aug 7, 2019, 1:51:14 AM",They hit 60mph on the highway 
"Aug 7, 2019, 1:52:27 AM",They get in a vehicle around mile 6
"Aug 7, 2019, 1:54:08 AM",Part of the activity looks to be in a vehicle after mile 6
"Aug 7, 2019, 2:03:43 AM",GPS data has jumps - might just be because it was a long time ago and tech wasn't quite as accurate 
"Aug 9, 2019, 2:11:15 AM","Frank Kjaersgaard Yeah I’ve heard of that trick for better GPS, might need to tie a little leash to my goggles or something as I’m afraid of it somehow falling into the abyss. "
"Aug 13, 2019, 1:04:35 AM",What’s good dude?  Saw you just casually did an iron man that’s crazy 
"Aug 14, 2019, 12:55:03 AM",Nice dude those are some challenging segments 
"Aug 16, 2019, 10:55:43 PM",That’s perfection in one pic 
"Aug 23, 2019, 1:52:13 PM",Aaron B. Roberts  it was a rib/chest thing so really only needed to let it heal so I can breathe fully - if it was running related I would have eased in a lot more 
"Aug 25, 2019, 2:06:04 AM",Nice man about to ride the hilltowns tomorrow
"Aug 25, 2019, 2:18:53 AM",Joe Sperry and I are going pretty early in the you’re more than welcome to join but we starting at like 6 which is pretty brutal lmao 
"Aug 25, 2019, 2:20:42 AM",We will have to do a ride sometime soon if we are  in the same area again 
"Sep 25, 2019, 1:02:17 PM",Looks like we work really nearby now
"Sep 25, 2019, 3:54:21 PM",Just a block over on Broad street
"Sep 26, 2019, 6:43:19 PM",Haha yeah I think today’s uphill was about as fast as I can do with a backpack on.  I didn’t have my HRM the last couple of days but I’m sure it would show a nice spike as I’m waiting at the inevitable red light by the MGH stop.     
"Sep 27, 2019, 12:54:52 AM",Is that climb segment legit tho 
"Sep 27, 2019, 1:49:12 AM",Fresh af
"Sep 30, 2019, 2:29:22 PM",Nice run man
"Sep 30, 2019, 5:40:37 PM","Aaron Mason  Yeah dude definitely,  I want to get back to some Tracksmith runs too, but had a unexpected job change along with a move over the past 3 months so life has been pretty crazy-  settling in to everything now though and ready to run more!"
"Oct 2, 2019, 2:58:01 AM",Legend.
"Oct 3, 2019, 3:13:26 PM",Cool! I'm here till Friday if you have any suggestions for what to check out
"Oct 12, 2019, 2:54:03 PM",Nice!
"Oct 12, 2019, 2:58:07 PM",I’ve heard the phone app has been pretty unreliable lately.  Some of the garmin wearable devices have gotten really inexpensive and could solve your problem if tracking Is something you enjoy 
"Oct 12, 2019, 3:44:04 PM",Almost made it to AZ!
"Oct 12, 2019, 3:45:15 PM",This looks intimidating 
"Oct 24, 2019, 2:41:10 AM",Nice man. What kind of runs will you do between now and then?
"Oct 27, 2019, 10:26:46 PM",Good race 
"Oct 27, 2019, 10:27:07 PM",Nice racing 
"Nov 1, 2019, 12:50:05 AM",Good ride 
"Nov 1, 2019, 8:19:01 PM",sorry to hear you were injured 
"Nov 3, 2019, 3:25:07 PM",Nice dude!
"Nov 3, 2019, 3:25:17 PM",Nice race 
"Nov 3, 2019, 7:54:44 PM",Congrats!
