Date,Segment ID
"Feb 20, 2026, 6:00:29 PM",38722132
"Aug 26, 2025, 12:56:46 AM",732018
"Aug 23, 2025, 12:03:31 AM",39951386
"Aug 22, 2025, 3:24:06 PM",24263009
"Jul 30, 2025, 12:00:39 AM",39750184
"Jul 29, 2025, 11:59:29 PM",13792613
"Jul 29, 2025, 11:58:56 PM",11253944
"Mar 17, 2025, 2:13:31 PM",33666823
"Mar 17, 2025, 11:56:27 AM",16747661
"Feb 21, 2025, 9:47:18 PM",38633527
"Feb 21, 2025, 6:36:58 PM",38632754
"Jan 14, 2025, 3:18:14 PM",37931378
"Jan 4, 2025, 6:38:09 PM",38391006
"Nov 19, 2024, 2:29:02 AM",37033150
"Aug 31, 2024, 5:57:36 PM",10961605
"Aug 27, 2024, 11:58:27 AM",17205419
"Aug 15, 2024, 1:09:45 AM",34647460
"Aug 12, 2024, 3:56:47 PM",3791151
"Aug 5, 2024, 11:05:44 PM",26895815
"Aug 5, 2024, 10:58:58 PM",7246066
"Aug 5, 2024, 10:37:53 PM",20801074
"Jul 28, 2024, 3:20:16 PM",26229671
"Jul 26, 2024, 5:25:59 PM",742552
"Jul 26, 2024, 5:24:10 PM",6326040
"Jul 22, 2024, 11:03:42 PM",2786945
"Jul 22, 2024, 5:27:51 PM",33501385
"Jul 22, 2024, 5:20:50 PM",7758685
"Jul 19, 2024, 2:35:51 PM",35231231
"Mar 17, 2024, 3:14:16 PM",16834286
"Mar 16, 2024, 1:30:44 PM",18121161
"Feb 17, 2024, 8:57:22 PM",13489234
"Jan 14, 2024, 5:42:37 PM",1250854
"Aug 31, 2023, 2:31:10 PM",25724444
"Aug 19, 2023, 2:55:46 PM",11260485
"Aug 17, 2023, 4:43:11 PM",2688227
"Aug 13, 2023, 1:57:29 AM",10456250
"Aug 13, 2023, 1:43:35 AM",630907
"Aug 12, 2023, 4:45:37 PM",682446
"Aug 12, 2023, 2:22:28 AM",7606000
"Aug 12, 2023, 2:17:31 AM",18743223
"Aug 11, 2023, 5:15:04 PM",2333044
"Aug 11, 2023, 5:11:15 PM",12634937
"Aug 9, 2023, 9:44:14 PM",2370087
"Aug 8, 2023, 11:15:39 PM",16780889
"Aug 6, 2023, 3:36:01 PM",7146062
"Jul 28, 2023, 5:14:01 PM",10522842
"Jul 28, 2023, 5:13:09 PM",22802825
"Jul 26, 2023, 9:45:25 PM",15327311
"Jul 26, 2023, 9:44:14 PM",18154592
"Jul 24, 2023, 11:46:19 PM",1786495
"Jul 24, 2023, 1:39:51 AM",24778415
"Jul 24, 2023, 1:38:33 AM",20612533
"Jul 17, 2023, 10:52:00 PM",7447510
"Jul 17, 2023, 10:51:56 PM",12945063
"Jul 17, 2023, 9:35:33 PM",4867428
"Jun 12, 2023, 1:38:37 PM",3237
"Jun 11, 2023, 1:23:36 AM",34269543
"Jun 10, 2023, 3:40:16 PM",34616896
"Jun 10, 2023, 3:23:41 PM",34616914
"May 13, 2023, 5:17:08 PM",5629456
"Apr 16, 2023, 11:01:23 PM",681720
"Mar 12, 2023, 5:20:07 PM",31245221
"Jul 10, 2022, 1:36:40 AM",25122034
"Jul 10, 2022, 1:36:20 AM",722849
"Jun 29, 2022, 8:33:03 PM",32141717
"Jun 26, 2022, 2:31:26 PM",2375849
"Jun 26, 2022, 1:59:52 PM",32111331
"Jun 15, 2022, 12:02:23 AM",15213471
"Jun 2, 2022, 7:57:14 PM",31917823
"Jun 2, 2022, 7:46:08 PM",31921888
"May 27, 2022, 11:45:18 PM",1129628
"May 26, 2022, 8:48:43 PM",6111504
"May 26, 2022, 8:47:38 PM",25108008
"May 24, 2022, 11:21:56 PM",4703163
"May 19, 2022, 8:25:37 PM",7294893
"May 19, 2022, 8:24:18 PM",12716440
"May 13, 2022, 1:16:17 PM",11439030
"May 10, 2022, 1:50:43 AM",31147258
"May 5, 2022, 7:26:31 PM",632084
"Apr 30, 2022, 8:06:03 PM",12502992
"Apr 30, 2022, 5:07:07 PM",702078
"Apr 30, 2022, 4:57:40 PM",4455357
"Mar 9, 2022, 1:55:55 PM",30887378
"Mar 6, 2022, 5:01:42 PM",14120182
"Jan 31, 2022, 3:26:15 PM",30925418
"Jan 29, 2022, 6:10:19 PM",14270131
"Jan 26, 2022, 5:28:41 PM",30885029
"Jan 26, 2022, 1:20:21 PM",14504733
"Nov 23, 2021, 7:03:47 PM",24928727
"Oct 29, 2021, 3:21:57 PM",2515441
"Oct 9, 2021, 7:37:17 PM",23460527
"Oct 8, 2021, 10:28:15 PM",20218212
"Oct 8, 2021, 10:27:26 PM",20759033
"Aug 25, 2021, 3:18:09 PM",7330286
"Jul 31, 2021, 10:03:15 AM",2175065
"Jul 26, 2021, 11:48:00 PM",26624030
"Jul 7, 2021, 8:00:42 PM",15237594
"Jun 22, 2021, 2:03:56 AM",28895148
"Jun 21, 2021, 11:40:09 PM",3341720
"Jun 20, 2021, 11:13:16 PM",23776545
"Jun 20, 2021, 11:13:13 PM",9435343
"Jun 18, 2021, 1:11:58 PM",20804327
"Jun 18, 2021, 2:09:55 AM",3282217
"Jun 15, 2021, 9:56:19 PM",28659405
"Jun 1, 2021, 2:39:12 AM",9617250
"Jun 1, 2021, 2:38:37 AM",18260813
"May 10, 2021, 1:59:51 PM",20804319
"May 8, 2021, 4:44:17 PM",2193607
"Apr 22, 2021, 2:05:23 PM",14498251
"Apr 21, 2021, 12:22:59 AM",23175994
"Apr 18, 2021, 11:45:11 PM",25486322
"Apr 12, 2021, 2:36:10 AM",21893586
"Apr 9, 2021, 9:33:20 PM",27953252
"Apr 6, 2021, 8:03:45 PM",13062618
"Mar 28, 2021, 3:01:24 AM",644971
"Mar 26, 2021, 12:04:13 AM",23001204
"Mar 10, 2021, 6:28:27 PM",675947
"Feb 13, 2021, 8:18:53 PM",13947791
"Feb 13, 2021, 8:11:01 PM",17146711
"Jan 18, 2021, 11:13:44 PM",14922686
"Dec 19, 2020, 11:09:07 PM",16784833
"Dec 11, 2020, 12:40:50 PM",21310851
"Nov 22, 2020, 4:16:25 PM",574991
"Nov 22, 2020, 4:15:02 PM",18627042
"Nov 20, 2020, 12:03:35 AM",17267489
"Nov 18, 2020, 11:56:40 PM",2349865
"Nov 16, 2020, 2:51:09 AM",24682578
"Nov 15, 2020, 4:40:53 PM",12109030
"Nov 13, 2020, 1:48:01 PM",12744502
"Nov 11, 2020, 2:54:47 AM",645578
"Nov 11, 2020, 2:54:34 AM",5601073
"Nov 10, 2020, 10:20:40 PM",25919511
"Nov 8, 2020, 6:44:14 PM",15359045
"Nov 8, 2020, 3:14:35 PM",1396877
"Nov 8, 2020, 3:13:12 PM",12001090
"Nov 8, 2020, 3:04:23 PM",3972923
"Nov 8, 2020, 3:01:18 PM",10764623
"Nov 8, 2020, 3:00:56 PM",1713858
"Nov 1, 2020, 11:19:13 PM",1695425
"Oct 30, 2020, 9:21:53 PM",20560392
"Oct 30, 2020, 8:02:20 PM",620746
"Oct 30, 2020, 4:59:05 PM",24690967
"Oct 24, 2020, 3:47:24 PM",1017722
"Oct 24, 2020, 3:46:07 PM",9527828
"Oct 24, 2020, 3:44:48 PM",2254780
"Oct 24, 2020, 3:44:31 PM",641605
"Oct 19, 2020, 3:27:01 PM",16129340
"Oct 12, 2020, 1:56:22 AM",5406136
"Oct 10, 2020, 9:01:13 PM",25380960
"Oct 9, 2020, 1:46:52 PM",25999668
"Oct 9, 2020, 2:08:24 AM",25998586
"Oct 7, 2020, 2:11:09 PM",4585660
"Sep 27, 2020, 6:09:46 PM",25873560
"Sep 25, 2020, 1:03:41 AM",1248829
"Sep 24, 2020, 1:45:33 PM",12470930
"Sep 24, 2020, 1:29:44 PM",611908
"Sep 23, 2020, 1:49:21 AM",12689596
"Sep 21, 2020, 11:58:32 PM",758005
"Sep 21, 2020, 2:37:24 PM",1750457
"Sep 21, 2020, 12:22:46 AM",25794203
"Sep 20, 2020, 12:58:33 PM",4559622
"Sep 20, 2020, 12:49:55 PM",2667763
"Sep 19, 2020, 10:44:16 PM",2380386
"Sep 18, 2020, 1:45:32 AM",671997
"Sep 17, 2020, 3:34:29 PM",640207
"Sep 17, 2020, 3:27:45 PM",690537
"Sep 15, 2020, 10:57:55 PM",25230614
"Sep 14, 2020, 2:58:53 AM",2319101
"Sep 13, 2020, 1:13:52 AM",25687803
"Sep 12, 2020, 7:02:03 PM",7207112
"Sep 12, 2020, 7:00:28 PM",20863725
"Sep 12, 2020, 10:44:27 AM",1624851
"Sep 11, 2020, 7:16:00 PM",627553
"Sep 10, 2020, 10:31:22 PM",14660383
