Date,Route ID
"Nov 1, 2024, 3:14:44 AM",3287269335808120048
"Feb 7, 2026, 9:34:41 PM",3455314575310118232
"Aug 13, 2023, 1:56:48 AM",3125624734635558332
"Sep 14, 2020, 2:57:43 AM",2740421765000131392
"May 5, 2022, 9:28:44 AM",2957226206949221510
"Jul 12, 2021, 11:38:26 PM",2849812750658475520
"May 29, 2022, 7:18:53 PM",2966073926886185258
"May 22, 2025, 8:09:03 PM",3360726947082289848
"Aug 13, 2021, 7:00:09 PM",2861339127934705908
"Jul 22, 2021, 9:50:06 AM",2853228172778196224
"Sep 12, 2020, 2:34:41 AM",2739271162246597960
"Aug 27, 2023, 12:29:51 AM",3130676284006341850
"Jun 27, 2025, 12:50:00 AM",3373481221850000756
"Aug 12, 2023, 2:14:31 AM",3125266802806177848
"Jun 26, 2022, 9:02:37 AM",2976065708461789160
"Jul 23, 2021, 1:04:00 AM",2853458162210634526
"Aug 28, 2024, 11:55:34 AM",3263845193510555248
"Aug 1, 2021, 1:28:37 PM",2856907042707202216
"Sep 14, 2022, 4:04:31 PM",3005162910540661528
"Oct 11, 2020, 2:18:47 AM",2750196440620698588
"Mar 11, 2023, 6:45:11 PM",3069707975759200528
"Nov 8, 2025, 12:48:11 PM",3422206522736510854
"Aug 5, 2020, 8:01:54 PM",8361391
"Nov 8, 2024, 1:30:47 AM",3289779890143093896
"Aug 16, 2022, 2:48:04 PM",2994634425390914118
"May 23, 2022, 9:03:19 PM",2963925887016908002
"Nov 22, 2020, 4:56:30 PM",2765637613168893546
"Jun 1, 2024, 1:09:11 PM",3231973591657332144
"Jun 25, 2021, 1:13:43 AM",8279248
"Jun 19, 2023, 12:12:59 PM",3105848468949476878
"Aug 8, 2021, 10:02:18 AM",2857288988070954138
"Oct 12, 2024, 7:40:10 PM",3280269570858140838
"Nov 8, 2020, 3:22:56 PM",2760540635947575944
"Jul 10, 2021, 7:14:56 PM",2849021660024681540
"May 11, 2021, 7:19:45 PM",2827279600056868506
"Jun 6, 2022, 2:37:14 PM",2968902157674932918
"Jul 28, 2020, 8:30:10 PM",2723292004805563512
"Oct 20, 2020, 11:39:45 PM",2753780295275543192
"Mar 28, 2021, 10:53:20 AM",2811207091547586704
"Aug 25, 2020, 8:58:02 PM",2733445876798006332
"Aug 3, 2025, 8:55:07 PM",3387192852471892804
"Nov 28, 2024, 2:56:47 AM",3297049288801977804
"Nov 12, 2017, 5:47:08 PM",11162218
"Feb 19, 2024, 8:27:30 PM",3194757947364714174
"Aug 17, 2023, 4:35:59 PM",3127295541481224636
"May 6, 2021, 2:23:00 PM",2825392985012738214
"Oct 29, 2022, 4:11:20 PM",3021472081149088018
"Sep 7, 2024, 1:29:03 AM",3267311404612830374
"Sep 9, 2020, 4:58:27 PM",2738821402024546488
"Aug 11, 2023, 3:17:55 AM",3124920371916485688
"Oct 11, 2021, 5:28:01 PM",2882696825090477462
"Aug 11, 2023, 2:07:05 AM",3124902545916102712
"Jun 1, 2024, 1:06:11 PM",12116285
"Oct 4, 2020, 12:59:18 PM",2747820917773435872
"Aug 14, 2024, 1:52:21 AM",3258619961687285976
"Oct 15, 2023, 2:17:37 PM",3148623539540077358
"Jun 11, 2023, 1:00:22 PM",3102961290104390632
"May 4, 2021, 3:24:53 PM",2824683779722735904
"Sep 7, 2020, 11:07:25 AM",2738008286724829038
"Jul 31, 2021, 2:06:40 AM",2856373037004637598
"Aug 29, 2024, 12:00:08 PM",3264208733923629758
"Nov 30, 2021, 6:16:45 PM",2900828483897068158
"Sep 11, 2022, 10:54:48 AM",3003997804575008146
"Jun 22, 2022, 6:29:11 PM",2974758737246491032
"Jul 19, 2025, 7:33:40 PM",3381736537937999028
"Jun 22, 2022, 6:30:33 PM",2974759083737445552
"Apr 27, 2024, 12:14:44 PM",3219276311538173294
"Sep 21, 2020, 2:16:26 PM",2743129286792216894
"Jan 7, 2024, 3:37:28 PM",3179102275187164098
