Segment Name,Activity ID,Starting Latitude,Starting Longitude,Ending Latitude,Ending Longitude
Riverside Drive,2505962940,42.330268,-72.672715,42.320591,-72.664452
Starting up Route 3,2402435584,42.420228,-71.152657,42.434008,-71.155252
COC Dock to Narrows ,2613528536,44.681813,-72.365281,44.692417,-72.361813
Great Hosmer - North,2613691412,44.682388,-72.365538,44.70599,-72.356464
Head of the Hosmer - COC,2621742003,44.705988,-72.356582,44.682186,-72.366147
Badger Summit Scramble,2756026618,34.540596,-112.431202,34.540423,-112.428724
Prescott Connector,2756026618,34.538872,-112.435954,34.540708,-112.431327
Badger to Underpass,2756026618,34.540861,-112.430744,34.551892,-112.417038
Butterfield Rd to Turley Trailhead,2756026618,34.543516,-112.449698,34.542629,-112.438388
Where am I going?,2756026618,34.541824,-112.438161,34.529419,-112.435177
Don't Try This At Home,2756026618,34.540543,-112.428664,34.540523,-112.431474
Endicott Sprint,2819417750,42.404183,-71.129199,42.402452,-71.131399
Arlington to Davis ,2819417750,42.414629,-71.152428,42.397134,-71.123509
Boardwalk Sprint,2872429101,42.396174,-71.14838,42.396145,-71.145538
Rouvy - Turner's Falls to Florence,2904633833,42.61021,-72.556259,42.332427,-72.672904
Rouvy - Whately Climb,2904633833,42.455356,-72.641059,42.434116,-72.648582
Rouvy - Bike Path Leeds to Florence,2904633833,42.353328,-72.700042,42.332538,-72.672973
Rouvy - Deerfield to Conway Rd,2904633833,42.543109,-72.605003,42.498104,-72.637657
Ski from Town,3107946705,44.639491,-72.371556,44.669082,-72.367597
Charlie's Cabin Time Trial ,3114726211,44.681101,-72.361519,44.698848,-72.355125
"Duck, Duck, Goose ",3114726211,44.678143,-72.363379,44.678672,-72.364525
Big Hosmer - Return Trip,3114726211,44.697867,-72.357363,44.68336,-72.362269
Tuesday Night Duck Dash,3111927647,44.680021,-72.362094,44.680205,-72.361324
"All Pain, No Gain",3111927647,44.678046,-72.356349,44.679693,-72.359973
Grand Touring,3116818067,44.641554,-72.37316,44.658233,-72.375961
Common Trail Climb,3116818067,44.641691,-72.373064,44.644968,-72.382687
Max's Pond Reverse ,3117521673,44.69918,-72.35239,44.696328,-72.352547
Elinor's Uphill,3117521673,44.670289,-72.359099,44.670798,-72.361659
Highland Lodge - Round Trip,2162993673,44.668952,-72.366895,44.66901,-72.366866
Big Hosmer - Race to Hosmer Point,3122439829,44.683958,-72.363107,44.697751,-72.357621
Big Hosmer - Race to the Waterslide ,3117521673,44.683729,-72.362813,44.697828,-72.357441
Alewife Brook - 1 Lap ,3225385260,42.40713,-71.133479,42.40732,-71.134032
Rouvy- Boston Esplanade ,3248106110,42.366283,-71.068931,42.363918,-71.184509
Rouvy - Purgatory Road Race (1 Lap),3248097649,42.143749,-71.773773,42.115985,-71.77069
Rouvy - Climb to the Finish,3248097649,42.094364,-71.74327,42.115131,-71.770439
Rouvy - Central Turnpike ,3248097649,42.127624,-71.773399,42.137748,-71.747032
This One Sucks,3248097649,42.11491,-71.71186,42.099834,-71.711891
Tempus TT - One Lap,3333543691,-11.635062,166.974185,-11.639205,166.982853
The Leg Snapper,3352587128,43.437992,-71.296486,43.43288,-71.286934
Mass Ave into Arlington Center,3552380029,42.402841,-71.13866,42.414248,-71.150976
Minuteman - Arlington to Alewife Brook,3552380029,42.414621,-71.152434,42.398742,-71.144149
Powder House Blvd - The Climbing Bit ,3560239060,42.407974,-71.130714,42.405457,-71.126038
Alewife Greenway- Bridge to Mass Ave,,42.404224,-71.134621,42.401317,-71.136138
Windsor Street,3597910949,42.404032,-71.139651,42.405917,-71.137125
Teel St ,3597910949,42.402825,-71.138064,42.404696,-71.135743
Somerset to Juniper,3602633413,42.399292,-71.175453,42.401318,-71.184464
Climb to the End of the Pavement,3602633413,42.399292,-71.175453,42.400459,-71.180702
Swim to the Docks!,3658186118,42.439551,-71.146582,42.431711,-71.14742
Double Trouble (11km TT),3684526713,42.444855,-71.141235,42.421379,-71.141907
Sprint the bridge,3692616861,42.390354,-71.141781,42.39385,-71.140511
Blackstone - to the Martin St Bridge,3723616079,41.996002,-71.493813,41.927254,-71.431351
3-lap CBTT (Liberty Edition),3768586417,42.475021,-71.364784,42.472797,-71.352211
Acorn Mile,3807787513,42.397834,-71.146792,42.397934,-71.146618
Discovery Mile,3820232523,42.397811,-71.147489,42.397989,-71.14683
Hot Dog on the Mystic - 1 Lap,3830153921,42.418827,-71.141244,42.418782,-71.141348
Town Tavern Crit,3840694050,42.406166,-71.142242,42.406231,-71.142151
Marathon Street Time Trial (5km),3743036984,42.399652,-71.143473,42.405002,-71.141424
Red Bull High Stakes,3890065016,42.369919,-71.122627,42.369904,-71.122879
Rabbit Rabbit,3890065016,42.366173,-71.127869,42.366207,-71.127869
Nickerson Ledge Trail to Carter Ledge Trail,3989201072,43.949423,-71.244787,43.966603,-71.266056
Piper Trail Down,3989201072,43.960027,-71.273099,43.940824,-71.229906
Mt Vernon Street (All of it),4022823369,42.418795,-71.167621,42.413582,-71.173755
Grove to Pine Climb,4050156876,42.376317,-71.158918,42.378418,-71.170762
Longfellow- Extended Cut ,4050156876,42.361276,-71.071958,42.362158,-71.083248
Burts Bog,4088280076,42.320531,-72.681552,42.313302,-72.682432
Burts Bog,4088280076,42.320545,-72.681579,42.313302,-72.682432
Florence Road Climb,4088280076,42.328335,-72.677571,42.322931,-72.67645
Oxford to Park Street,4099099394,42.386725,-71.115883,42.383233,-71.106507
Cambridge Turnpike Afterburner ,4120666147,42.451515,-71.327109,42.457749,-71.342884
chickity check yo self before you wreck yo self,4125708286,42.405524,-71.125802,42.411117,-71.122024
School - Robbins ,4136767238,42.420483,-71.170974,42.415113,-71.179164
Up and Over - Col d'Lex,4167183340,42.49303,-71.255833,42.473364,-71.238181
